time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,0.0,0.0,0.02,-3.002919991265048e-16,-4.696958135005596e-16,1.6028889666271264e-06,-2.116052426586901e-14,1.6415331887733874e-14,-6.56419409153747e-13,6.521227668169047,-6.521227668186814,6.521227668169444,-6.521227668180559
0.02,0.0,0.0,0.04,-5.542580833470589e-16,-9.829643620085102e-16,3.6634378746093173e-06,-7.218006898096094e-14,3.18887117417175e-14,-1.908043922380102e-12,9.047954214786555,-9.047954214832714,9.047954214794606,-9.047954214816068
0.03,0.0,0.0,0.06,-5.263203289589396e-16,-8.175805961552509e-16,6.017723100804236e-06,-1.0987931194918694e-13,3.503409792574655e-14,-3.809481240824569e-12,10.105957428307399,-10.10595742838173,10.105957428318593,-10.105957428364329
0.04,0.0,0.0,0.08,-2.1673608629517327e-16,5.049070388042301e-16,8.44710465993427e-06,-1.0117324801528619e-13,2.7702670362164316e-14,-6.133840392597421e-12,10.624399153876457,-10.624399153970284,10.624399153883308,-10.62439915396182
0.05,0.0,0.0,0.1,2.4042016227025604e-16,2.7902840667829547e-15,1.09113023876918e-05,-1.0913140477062298e-13,-6.814389033349646e-14,-1.147066492437459e-11,10.94505399866058,-10.945053998854304,10.945053998694542,-10.945053998865415
0.06,0.0,0.0,0.12,-5.408492382991572e-16,5.013163343493184e-15,1.3402809704951867e-05,-3.3588573583439004e-14,1.8911186762844685e-14,-8.834462364354625e-12,11.193644543574027,-11.193644543637607,11.193644543556044,-11.193644543638616
0.07,0.0,0.0,0.14,-1.3500094906268885e-15,6.8899002561129835e-15,1.5920378606107176e-05,1.7219396131096688e-14,9.386904979982734e-14,-7.013062533188536e-12,11.416419533244147,-11.416419533262996,11.416419533210144,-11.416419533257399
0.08,0.0,0.0,0.16,2.593153059259258e-16,8.33094207783797e-15,1.8464208213952012e-05,9.39053861226151e-14,8.451961164872935e-14,-5.58278667707359e-12,11.630392499039411,-11.630392499038042,11.630392499007122,-11.630392499047305
0.09,0.0,0.0,0.18,2.7917926779781596e-15,7.707728269333944e-15,2.1034927987741974e-05,8.14720870541904e-14,4.6342211224528084e-14,-3.321468923716253e-12,11.841821866653987,-11.841821866647031,11.84182186664338,-11.84182186666092
0.1,0.0,0.0,0.2,8.106343536549683e-15,7.900574633460233e-15,2.3633305682173576e-05,1.4743885113733746e-13,-1.5846994582532212e-13,-5.960782819954568e-12,12.05301700870101,-12.05301700875206,12.053017008716976,-12.053017008806854
0.11,0.0,0.0,0.22000000000000003,1.0589256104824658e-14,6.498803466657022e-15,2.6260142697540134e-05,1.525048057827074e-13,-2.5030422760200397e-13,-8.680925095394207e-12,12.264814729290253,-12.264814729388416,12.264814729313144,-12.26481472943813
0.12,0.0,0.0,0.24,9.641268107803063e-15,3.899035282056447e-15,2.891626475997098e-05,1.1186073638128067e-13,-2.0563196539619727e-13,-1.1606185561752955e-11,12.4775281376851,-12.477528137827944,12.477528137697611,-12.477528137845384
0.13,0.0,0.0,0.26,7.335659961929567e-15,9.866581137727777e-16,3.1602531228655296e-05,6.042213039555546e-14,-1.091212874934835e-13,-1.4475308891137455e-11,12.69127131171333,-12.691271311892091,12.691271311712656,-12.691271311879598
0.14,0.0,0.0,0.28,4.971678050075315e-15,-1.5948390877777517e-15,3.431967287591896e-05,2.6576473510644835e-14,-1.4450498863204457e-14,-1.7444724530673208e-11,12.906088915730031,-12.90608891593769,12.906088915719215,-12.906088915911083
0.15,0.0,0.0,0.3,3.9636931249498385e-15,-3.71879499611552e-15,3.7068729825701865e-05,1.5551627176417336e-14,2.4469062831724433e-14,-2.0025333186210814e-11,13.121997285078441,-13.12199728530335,13.121997285065962,-13.121997285279633
0.16,0.0,0.0,0.32,4.265454087409734e-15,-5.481659868427771e-15,3.98503058624836e-05,2.3878823229433955e-14,9.906820950888595e-15,-2.2340381108830648e-11,13.339002716681211,-13.339002716917166,13.339002716673782,-13.339002716908164
