time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,0.0,0.0,0.01,-2.089663510479092e-15,-2.752023567133952e-15,1.5710205448396742e-06,-1.0883345033996093e-13,8.23143817570934e-14,-1.700663312090645e-13,2.608370939171671,-2.608370939186403,2.6083709391750816,-2.6083709391627545
0.02,0.0,0.0,0.02,-4.1225652718193826e-15,-5.432840676736665e-15,3.211674830313824e-06,-2.0997999656308428e-13,1.734570545998973e-13,-5.20471426554805e-13,3.6192706350642574,-3.6192706350880637,3.6192706350671813,-3.6192706350507344
0.03,0.0,0.0,0.03,-5.8257617885920875e-15,-7.699439827372323e-15,4.8830356862375256e-06,-2.9093133566820365e-13,2.632300426618268e-13,-7.969409787936182e-13,4.042882485438989,-4.042882485466063,4.042882485438814,-4.042882485423007
0.04,0.0,0.0,0.04,-6.892043127088263e-15,-9.393579713533366e-15,6.561135421112141e-06,-3.4822215011595274e-13,3.34691020659744e-13,6.302196871987068e-13,4.2508281372706564,-4.2508281372859855,4.250828137268592,-4.250828137244352
0.05,0.0,0.0,0.05,-7.313028112079914e-15,-1.0573121550652057e-14,8.23942264395442e-06,-3.8401969984812077e-13,3.8293817284818747e-13,3.85823087824589e-12,4.379815378511222,-4.379815378501219,4.379815378508689,-4.379815378464138
0.06,0.0,0.0,0.06,-7.0859855147734295e-15,-1.1417405899410925e-14,9.91626400294925e-06,-4.076751850325774e-13,4.095658727347171e-13,8.292418372124734e-12,4.480135018473453,-4.480135018429871,4.480135018471885,-4.480135018398212
0.07,0.0,0.0,0.07,-6.8453121232165034e-15,-1.1836497549687115e-14,1.1591354916713279e-05,-4.0884831635472553e-13,4.334623440233242e-13,1.4472551292061545e-11,4.570287723429295,-4.570287723337909,4.5702877234251424,-4.570287723311886
0.08,0.0,0.0,0.08,-6.047851942330266e-15,-1.2361633248042435e-14,1.326474886535676e-05,-4.237145596395067e-13,4.4086887947953277e-13,1.8811633321361574e-11,4.6570794388081085,-4.657079438686061,4.657079438806251,-4.657079438662302
0.09,0.0,0.0,0.09,-6.6194339221937706e-15,-1.3315034459654509e-14,1.493659120730019e-05,-4.505381750438321e-13,4.903114434707485e-13,2.7552333520356967e-11,4.743014925516492,-4.74301492533516,4.743014925513053,-4.743014925304796
0.1,0.0,0.0,0.1,-6.868392568509957e-15,-1.4215948185140867e-14,1.660705268133009e-05,-4.804659691513962e-13,5.23589668393521e-13,3.5869209070868166e-11,4.829017444399352,-4.829017444160462,4.829017444397014,-4.829017444128714
0.11,0.0,0.0,0.11000000000000001,-6.51875007978007e-15,-1.4595943597503896e-14,1.8276306452735664e-05,-4.903207764060293e-13,5.335221041444335e-13,4.3734116411236724e-11,4.915417204270917,-4.915417203974884,4.9154172042693105,-4.9154172039469435
0.12,0.0,0.0,0.12,-5.728775629167535e-15,-1.4601353418857696e-14,1.9944552000572283e-05,-4.870965222332977e-13,5.264927495764664e-13,5.118196232011112e-11,5.0023483668683335,-5.002348366517401,5.002348366867625,-5.002348366494845
0.13,0.0,0.0,0.13,-4.5753119832556055e-15,-1.4257438919668452e-14,2.1611946386546594e-05,-4.711796754245804e-13,5.102923731503307e-13,5.810333628420231e-11,5.0898483636776435,-5.089848363275225,5.089848363677005,-5.089848363257842
0.14,0.0,0.0,0.14,-3.639742564239298e-15,-1.4223014813712408e-14,2.3278668405180515e-05,-4.739534314573062e-13,4.906714398743757e-13,6.595080740438895e-11,5.1779361349864095,-5.1779361345290456,5.1779361349882995,-5.177936134513119
