time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,0.0,0.0,0.01,-4.233101968942554e-15,4.935847211298986e-16,1.5797560882694692e-06,1.1356119582109117e-14,1.671389461251516e-13,5.558297694897832e-13,3.26035993930445,-3.2603599392912765,3.260359939278296,-3.2603599392668348
0.02,0.0,0.0,0.02,-7.812822358470279e-15,9.754445729392745e-16,3.2710124656909103e-06,1.2974778407960743e-14,2.8274191215770844e-13,2.064605076440076e-12,4.523669727539604,-4.523669727502575,4.523669727506293,-4.5236697274699695
0.03,0.0,0.0,0.03,-1.045780387899702e-14,1.4600132607964496e-15,5.0143341242302745e-06,1.4514240801543608e-14,3.6303921228729007e-13,3.4744368056955384e-12,5.052672265013733,-5.052672264960754,5.0526722649805595,-5.052672264928553
0.04,0.0,0.0,0.04,-1.2100645837418838e-14,2.033006342620002e-15,6.772230147609907e-06,2.1376562539898167e-14,3.94234415456064e-13,5.055323576431676e-12,5.311897030388605,-5.311897030319088,5.3118970303618,-5.31189703029364
0.05,0.0,0.0,0.05,-1.2677999208060849e-14,1.88489513669941e-15,8.534423118609477e-06,-1.0709043569558581e-14,4.0692274746491823e-13,6.636657776337219e-12,5.472226696560336,-5.47222669648155,5.472226696545002,-5.472226696456814
0.06,0.0,0.0,0.06,-1.2315661650144328e-14,1.4013660797527192e-15,1.0298319099675577e-05,-6.304331827548728e-14,3.964641294148381e-13,8.139970568991646e-12,5.596523201788892,-5.596523201704869,5.596523201786852,-5.596523201679424
0.07,0.0,0.0,0.07,-1.1808341341203776e-14,1.4334667615955718e-15,1.2063399280250152e-05,-9.458086767882151e-14,3.8514386072649253e-13,9.73904378457686e-12,5.707911592991232,-5.70791159289252,5.707911592993187,-5.707911592870237
0.08,0.0,0.0,0.08,-1.0768864470431474e-14,1.705700100068663e-15,1.382970341665837e-05,-1.1694535864387167e-13,3.5159193345222916e-13,1.1174387333558599e-11,5.814898786486633,-5.814898786375609,5.81489878649303,-5.814898786360129
0.09,0.0,0.0,0.09,-9.902070540806385e-15,2.6132947613090388e-15,1.559741461828678e-05,-1.2754667850595257e-13,3.151499934104705e-13,1.093665899090981e-11,5.92061877476692,-5.920618774679036,5.920618774777499,-5.92061877466978
0.1,0.0,0.0,0.1,-8.585727495560312e-15,3.917888028287817e-15,1.736675197471825e-05,-1.3937543192547014e-13,2.3773912509626083e-13,9.511787162564608e-12,6.026219103996873,-6.026219103938667,6.026219104016883,-6.026219103939507
0.11,0.0,0.0,0.11000000000000001,-7.837624592180263e-15,5.456661869906554e-15,1.9137939173315445e-05,-1.4267673003341723e-13,1.8773634773127787e-13,7.655481031570947e-12,6.132115577117521,-6.132115577084469,6.132115577136102,-6.132115577087929
0.12,0.0,0.0,0.12,-7.632171921306145e-15,7.259879813021987e-15,2.091122765940063e-05,-1.3668678312562743e-13,1.6073714880165127e-13,5.946393079745928e-12,6.238474631651046,-6.238474631632574,6.238474631664021,-6.238474631635675
0.13,0.0,0.0,0.13,-7.900084393782593e-15,9.04825815414941e-15,2.2686841245738874e-05,-1.3736197897974893e-13,1.5314660030452264e-13,4.491652536976939e-12,6.3453483537434225,-6.345348353735229,6.345348353751343,-6.3453483537344155
0.14,0.0,0.0,0.14,-8.023704105327336e-15,1.1623268627906135e-14,2.446498716037895e-05,-9.699535389851573e-14,1.4049305213687213e-13,3.032075047713775e-12,6.452755733979298,-6.452755733976078,6.452755733978907,-6.452755733979519
0.15,0.0,0.0,0.15,-8.34141380350131e-15,1.3877634782025274e-14,2.6246016385038768e-05,-7.313789827304294e-14,1.3761788716181004e-13,1.5414787953636312e-12,6.5607123362557935,-6.560712336263301,6.560712336251141,-6.560712336266467
0.16,0.0,0.0,0.16,-8.720189836894924e-15,1.6008532755626472e-14,2.8030019473495225e-05,-5.485478394880588e-14,1.3871934533330597e-13,2.577426056545082e-14,6.669216828293097,-6.6692168283142195,6.6692168282867,-6.669216828315689
0.17,0.0,0.0,0.17,-9.012780366747194e-15,1.811912563465748e-14,2.981722215758377e-05,-3.5788487012881366e-14,1.3731079464224346e-13,-1.5013210367365724e-12,6.778269029014743,-6.77826902904947,6.778269029007931,-6.778269029050433
0.18,0.0,0.0,0.18,-8.763918545436964e-15,1.952297919339333e-14,3.160817518738406e-05,-5.064657169802562e-14,1.3080490465744323e-13,-3.3718094301302134e-12,6.887872265290085,-6.887872265347242,6.887872265286937,-6.887872265344404
0.19,0.0,0.0,0.19,-8.025082852030952e-15,2.027925429184496e-14,3.340281358637017e-05,-9.650252127554696e-14,1.1981489778133006e-13,-5.5550236574952834e-12,6.99802623228974,-6.998026232377482,6.998026232294143,-6.998026232367826
0.2,0.0,0.0,0.2,-7.068782424948906e-15,2.0957799394413386e-14,3.520137909584754e-05,-1.475091757945973e-13,1.0860798149623978e-13,-7.948782578866292e-12,7.108730156500367,-7.10873015662015,7.108730156511872,-7.108730156604492
0.21,0.0,0.0,0.21000000000000002,-6.164393024045929e-15,2.2131902642488803e-14,3.700417585970408e-05,-1.779858942227571e-13,1.0186578959454547e-13,-1.046646414975807e-11,7.21998344768869,-7.219983447835336,7.219983447702302,-7.219983447818309
0.22,0.0,0.0,0.22000000000000003,-5.3440282029729175e-15,2.389815187800081e-14,3.881147570643495e-05,-1.8395408733314262e-13,9.926219141862508e-14,-1.3058350168096858e-11,7.3317860401468335,-7.331786040314471,7.331786040157505,-7.331786040300707
0.23,0.0,0.0,0.23000000000000004,-4.335675493861191e-15,2.5809737893196964e-14,4.062407324075365e-05,-1.8705672386188078e-13,9.193422334352071e-14,-1.5627682084669007e-11,7.4441385516635385,-7.444138551853442,7.4441385516730945,-7.444138551841585
0.24,0.0,0.0,0.24,-3.2539487545876736e-15,2.8047475154677595e-14,4.244157150618223e-05,-1.7841636155187121e-13,8.384961469460412e-14,-1.8225621496316872e-11,7.557040720701859,-7.5570407209122665,7.557040720709099,-7.557040720903605
0.25,0.0,0.0,0.25,-2.097392977631422e-15,3.060147376251565e-14,4.426401707327475e-05,-1.5861343609350585e-13,7.516349862425371e-14,-2.081989856031636e-11,7.670492550669891,-7.670492550898807,7.670492550673715,-7.670492550894493
0.26,0.0,0.0,0.26,-8.42887570874475e-16,3.331457965461116e-14,4.609214996486205e-05,-1.3687127908821869e-13,6.834099664526787e-14,-2.2897733885084105e-11,7.784494095722859,-7.784494095964553,7.784494095723724,-7.784494095963602
0.27,0.0,0.0,0.27,5.064949825117463e-16,3.6207676950568827e-14,4.792587183970434e-05,-1.1196420691227312e-13,6.305452007285615e-14,-2.4527270450836746e-11,7.899045348664102,-7.899045348913342,7.899045348662257,-7.89904534891505
0.28,0.0,0.0,0.28,1.9561448103928016e-15,3.92441281592297e-14,4.9765355220099526e-05,-8.604246452584711e-14,5.987876526820619e-14,-2.5588963460738772e-11,8.014146322118878,-8.014146322369562,8.01414632211494,-8.014146322372728
0.29,0.0,0.0,0.29,3.3740114047323473e-15,4.2181867457998336e-14,5.161099426384256e-05,-6.39159472886961e-14,5.655615841702204e-14,-2.6934865677752453e-11,8.129797002924413,-8.129797003181595,8.129797002919453,-8.129797003185164
0.3,0.0,0.0,0.3,4.632963534934055e-15,4.478618171840601e-14,5.346317519594717e-05,-5.029935631091756e-14,5.0930498364438676e-14,-2.938225442942904e-11,8.245997378840862,-8.24599737912033,8.24599737883641,-8.245997379123365
0.31,0.0,0.0,0.31,5.676438746488322e-15,4.6927834811765697e-14,5.532217044287206e-05,-4.854179749648306e-14,4.229981063697161e-14,-3.324954111335748e-11,8.362747450869351,-8.362747451191442,8.362747450867344,-8.3627474511928
0.32,0.0,0.0,0.32,6.38719797354598e-15,4.8386899126897446e-14,5.718835027761762e-05,-6.31665460373639e-14,2.8711744149378045e-14,-3.9284073206529096e-11,8.480047208626118,-8.480047209021034,8.480047208628937,-8.480047209019641
0.33,0.0,0.0,0.33,7.226297941844832e-15,5.01922534593805e-14,5.9061768504197477e-05,-6.977132579175364e-14,1.9081901341617336e-14,-4.4393157969557636e-11,8.597896663051182,-8.59789666350376,8.597896663057167,-8.59789666350026
0.34,0.0,0.0,0.34,8.096182954642296e-15,5.2143686311533564e-14,6.0942748103404156e-05,-7.294616862173069e-14,1.1890032188271023e-14,-4.917873551275868e-11,8.71629580965457,-8.716295810157908,8.716295809662597,-8.71629581015281
0.35000000000000003,0.0,0.0,0.35000000000000003,8.937121396166703e-15,5.413216412480002e-14,6.283160657844418e-05,-7.495103069650336e-14,6.300797060594751e-15,-5.399771251555133e-11,8.835244643187183,-8.835244643738905,8.835244643196274,-8.835244643732812
0.36,0.0,0.0,0.36,9.759874584422894e-15,5.620135930528026e-14,6.472862362380557e-05,-7.449779816484529e-14,2.802326971040669e-15,-5.873921281644963e-11,8.954743160890377,-8.954743161485903,8.954743160899142,-8.954743161479707
