time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,0.0,0.0,0.0013333333333333335,1.3375482928320052e-15,-1.9095858133841852e-16,1.5559200036325246e-06,-8.090018334855444e-15,-5.555701863696677e-14,-3.0038569460358333e-13,0.43427614096223777,-0.43427614097030837,0.4342761409722946,-0.43427614097754685
0.02,0.0,0.0,0.002666666666666667,2.674796513406403e-15,-4.103090580983631e-16,3.1090845836900215e-06,-1.101903191781016e-14,-1.0206356622015079e-13,-1.7374491176687725e-12,0.6025534908638304,-0.602553490895813,0.6025534908774298,-0.6025534909072208
0.03,0.0,0.0,0.004,3.8654472993142024e-15,-7.470087949721809e-16,4.655976211317712e-06,-2.4002163076228662e-14,-1.530455947597384e-13,-2.1730243552938877e-12,0.6730224877061378,-0.6730224877394663,0.6730224877249648,-0.6730224877528056
0.04,0.0,0.0,0.005333333333333334,5.071281028844799e-15,-1.28026723744467e-15,6.1959692582687565e-06,-4.058440401309915e-14,-1.9928813401173514e-13,-3.0145949037137546e-12,0.7075563342899219,-0.7075563343334271,0.7075563343115068,-0.7075563343456002
0.05,0.0,0.0,0.006666666666666667,6.4093604654211614e-15,-1.6421261159105786e-15,7.72892067043249e-06,-5.1063480614829806e-14,-2.516745480893872e-13,-3.881580549875755e-12,0.728916769675323,-0.7289167697276572,0.7289167696995139,-0.7289167697439582
0.06,0.0,0.0,0.008,6.9392851386653145e-15,-4.5098679185317126e-15,9.254823421114945e-06,-1.5124444329619282e-13,-2.6220075374456243e-13,-4.3793232121613004e-12,0.7454773231451562,-0.7454773232111925,0.7454773231773605,-0.7454773232085821
0.07,0.0,0.0,0.009333333333333334,8.843481037855292e-15,-6.460431699071912e-15,1.0773707059201151e-05,-2.2013602971126843e-13,-3.3140326621130076e-13,-5.224125620682491e-12,0.7603184304802981,-0.7603184305609512,0.7603184305242499,-0.7603184305603163
0.08,0.0,0.0,0.010666666666666668,6.206355691483621e-15,-7.27835869864504e-15,1.228561123446164e-05,-2.4238585733439867e-13,-2.2429921242846535e-13,-5.1075532716822055e-12,0.7745759214194863,-0.7745759214839367,0.7745759214351605,-0.7745759214642959
0.09,0.0,0.0,0.011999999999999999,2.742121013985654e-15,-7.667516332029152e-15,1.3790576798266163e-05,-2.4690044237521794e-13,-8.860520056454243e-14,-4.7511519483885366e-12,0.7886590325917893,-0.7886590326424429,0.7886590325837385,-0.7886590326098911
0.1,0.0,0.0,0.013333333333333334,3.440931841147629e-15,-7.111205021325441e-15,1.5288648599131746e-05,-2.1219908468964756e-13,-1.3860922689020873e-13,-4.935863630934242e-12,0.8027303873269768,-0.802730387373926,0.8027303873282966,-0.8027303873686726
0.11,0.0,0.0,0.014666666666666668,5.690852445293909e-15,-6.146727257821376e-15,1.677986684246713e-05,-1.607635405885425e-13,-2.582682440650161e-13,-5.3176852677498805e-12,0.8168409308505318,-0.8168409308964488,0.8168409308668434,-0.8168409309218979
0.12,0.0,0.0,0.016,8.207135383236108e-15,-5.332108760004656e-15,1.8264277415935127e-05,-1.1559776210198676e-13,-3.8935459521861897e-13,-5.7197623546748944e-12,0.8310119448699477,-0.8310119449171078,0.8310119448982839,-0.8310119449623063
0.13,0.0,0.0,0.017333333333333333,1.0511322223088292e-14,-4.951472609023266e-15,1.9741915869808138e-05,-8.858923953345898e-14,-5.112150767508143e-13,-6.10263964548039e-12,0.8452514579216605,-0.8452514579727091,0.8452514579580804,-0.8452514580251822
0.14,0.0,0.0,0.018666666666666668,1.2760183592251443e-14,-5.1773622491798274e-15,2.121282082298193e-05,-8.703360923732504e-14,-6.33039478904399e-13,-6.5450354103602654e-12,0.8595612485138768,-0.8595612485729351,0.8595612485587539,-0.8595612486259628
0.15,0.0,0.0,0.02,1.4715981816909612e-14,-4.825961268390509e-15,2.2677061716491286e-05,-5.948388466663383e-14,-7.376144668667872e-13,-6.785227962433369e-12,0.8739457406531815,-0.873945740712118,0.87394574069872,-0.8739457407676786
0.16,0.0,0.0,0.021333333333333336,1.6491729574636723e-14,-4.27983899893853e-15,2.413463708499858e-05,-2.2538550940444416e-14,-8.322634810706466e-13,-6.9133335435153495e-12,0.8884038524319359,-0.8884038524870925,0.8884038524740592,-0.8884038525450468
0.17,0.0,0.0,0.02266666666666667,1.8383713887755446e-14,-4.156210459026361e-15,2.558560952879164e-05,-2.9008518684025964e-15,-9.34299923567678e-13,-7.091153477195319e-12,0.9029347835224251,-0.9029347835790542,0.9029347835663987,-0.9029347836377173
0.18,0.0,0.0,0.023999999999999997,2.0509492961959312e-14,-4.622374609581739e-15,2.7030006918934837e-05,-7.871987892456365e-15,-1.0500152095607824e-12,-7.36537505962476e-12,0.9175383364571349,-0.9175383365227786,0.9175383365108003,-0.9175383365803155
0.19,0.0,0.0,0.025333333333333333,2.325379141138772e-14,-5.001016667648563e-15,2.8467968343904418e-05,-9.352302776467944e-15,-1.1908743720323973e-12,-7.612380767780274e-12,0.93221576044916,-0.9322157605191934,0.9322157605109422,-0.9322157605805932
0.2,0.0,0.0,0.02666666666666667,2.6456842234973368e-14,-5.549815423610659e-15,2.989943696581569e-05,-1.8009351660004964e-14,-1.3519404891413494e-12,-7.878181534635518e-12,0.9469665732423553,-0.9469665733168275,0.9469665733142462,-0.9469665733843864
0.21,0.0,0.0,0.028,3.012302918496845e-14,-6.2700332888975164e-15,3.132441451790142e-05,-3.3895589022876024e-14,-1.5334003185201368e-12,-8.16267664418319e-12,0.9617907721890312,-0.9617907722680028,0.961790772273031,-0.9617907723440019
0.22,0.0,0.0,0.029333333333333336,3.452821969341038e-14,-7.241113210827273e-15,3.274301007167105e-05,-6.031195018435167e-14,-1.7470064286369797e-12,-8.459528086266393e-12,0.9766881906718399,-0.976688190756105,0.976688190770503,-0.9766881908418783
0.23,0.0,0.0,0.030666666666666672,3.964267016010375e-14,-8.454489773591604e-15,3.415521186720299e-05,-9.690253339960942e-14,-1.9914916757221054e-12,-8.76941921534546e-12,0.9916588466552091,-0.9916588467454829,0.9916588467710298,-0.9916588468424663
0.24,0.0,0.0,0.032,4.5532257953506305e-14,-9.929134018002378e-15,3.5561045950862914e-05,-1.4445560472340325e-13,-2.269662582740497e-12,-9.090836509409804e-12,1.006702700350768,-1.0067027004479407,1.006702700486373,-1.006702700557344
0.25,0.0,0.0,0.03333333333333333,4.996202231064128e-14,-7.010014965285506e-15,3.6960610343195315e-05,-8.7253789471995e-15,-2.493235837242218e-12,-9.598410702708745e-12,1.021819775197482,-1.0218197752886062,1.021819775331769,-1.021819775419734
0.26,0.0,0.0,0.034666666666666665,4.6003556183868694e-14,1.4370925765398977e-14,3.835412017454831e-05,8.973117516031472e-13,-2.3879055348596386e-12,-1.0822355610479356e-11,1.0370102637536542,-1.0370102637836,1.0370102637937004,-1.0370102639708128
0.27,0.0,0.0,0.036000000000000004,3.8497350554628896e-14,4.4337833436358683e-14,3.9741413573029255e-05,2.16156059135952e-12,-2.1452321827184334e-12,-1.239078715035693e-11,1.052274047125971,-1.0522740470691723,1.0522740470292575,-1.05227404732932
0.28,0.0,0.0,0.037333333333333336,2.74434054229219e-14,8.28907080475936e-14,4.112249053863813e-05,3.784021140322369e-12,-1.7652157808200981e-12,-1.430370532234186e-11,1.067611125314432,-1.067611125145322,1.0676111250384397,-1.0676111254952552
0.29,0.0,0.0,0.03866666666666667,1.2841720788747781e-14,1.3002954959910346e-13,4.249735107137493e-05,5.764693398492271e-12,-1.2478563291665065e-12,-1.656111012643467e-11,1.0830214983190298,-1.0830214980120425,1.0830214978212398,-1.0830214984686113
0.3,0.0,0.0,0.04,-4.111423956614152e-15,1.8415037312257604e-13,4.386606298471118e-05,8.03832380439901e-12,-6.400729817961725e-13,-1.905028400647401e-11,1.0985051672068935,-1.098505166748737,1.0985051664669006,-1.098505167322554
0.31,0.0,0.0,0.04133333333333333,-2.0108248316215767e-14,2.4081806903219114e-13,4.522881378674914e-05,1.0424482552461071e-11,-7.159986585984268e-14,-2.145955651435718e-11,1.11406213492868,-1.114062134340001,1.1140621339872232,-1.114062135024432
0.32,0.0,0.0,0.04266666666666667,-3.6675071656666036e-14,3.020791436363677e-13,4.658551695504628e-05,1.300642592489764e-11,5.174266374523831e-13,-2.393274270715305e-11,1.1296924001228639,-1.1296923994086494,1.129692398992469,-1.1296924002050182
0.33,0.0,0.0,0.044000000000000004,-5.3303868936097396e-14,3.6725243120022655e-13,4.793620128801036e-05,1.5756442633242215e-11,1.1070813289201084e-12,-2.642197471920608e-11,1.145395963242611,-1.1453959624130596,1.1453959619451937,-1.1453959633200412
0.34,0.0,0.0,0.04533333333333334,-6.948661511264231e-14,4.3565676598888817e-13,4.9280895584049143e-05,1.864682138902814e-11,1.6774390093233193e-12,-2.8879384684860587e-11,1.1611728247410968,-1.1611728238116203,1.1611728233079648,-1.1611728248252409
0.35000000000000003,0.0,0.0,0.046666666666666676,-8.471528514443315e-14,5.066109822674731e-13,5.0619628641570377e-05,2.1649850903788612e-11,2.2085744794424206e-12,-3.125710473846074e-11,1.1770229850715122,-1.1770229840627344,1.177022983543363,-1.1770229851763712
0.36,0.0,0.0,0.047999999999999994,-1.0369424855749846e-13,5.913074299526741e-13,5.1952488710870485e-05,2.523567101575551e-11,2.8907875863539173e-12,-3.3877877814854794e-11,1.1929464460717996,-1.1929464449376808,1.1929464443809326,-1.1929464461830068
0.37,0.0,0.0,0.04933333333333333,-1.2557155107425861e-13,6.882814935707126e-13,5.327950066754552e-05,2.934372074420078e-11,3.690281859472802e-12,-3.6669382049807685e-11,1.2089432081037825,-1.208943206808238,1.2089432061996597,-1.2089432082115756
0.38,0.0,0.0,0.050666666666666665,-1.503939729100179e-13,7.98115819789779e-13,5.4600699638039187e-05,3.39992798815874e-11,4.609508372008644e-12,-3.9623197247599726e-11,1.2250132717680215,-1.2250132702725285,1.2250132695969584,-1.2250132718619096
0.39,0.0,0.0,0.052000000000000005,-1.79019489929162e-13,9.232409092941789e-13,5.591613000118639e-05,3.930510790128305e-11,5.683635145332907e-12,-4.278858070890155e-11,1.2411566378806005,-1.2411566361330124,1.2411566353674348,-1.2411566379445498
0.4,0.0,0.0,0.05333333333333334,-2.1244464779538117e-13,1.0664029162858932e-12,5.7225837716331e-05,4.537719948550499e-11,6.953418964692388e-12,-4.622464230091184e-11,1.2573733072944215,-1.257373305227057,1.2573733043393813,-1.2573733073060336
0.41000000000000003,0.0,0.0,0.054666666666666676,-2.5180456197167035e-13,1.2306636484845825e-12,5.8529870323325806e-05,5.234478452532028e-11,8.465205379208632e-12,-5.000034445735782e-11,1.2736632808991881,-1.2736632784269204,1.273663277374761,-1.2736632808288775
0.42,0.0,0.0,0.056,-2.9445035413562864e-13,1.4156023932383968e-12,5.982822234141543e-05,6.02143105158096e-11,1.0119125076162106e-11,-5.375692013547271e-11,1.2900265510468365,-1.2900265481616677,1.2900265469608596,-1.2900265509044795
0.43,0.0,0.0,0.05733333333333333,-3.4057983316471163e-13,1.6224075792734729e-12,6.11209301172292e-05,6.903764143579288e-11,1.1924046484571484e-11,-5.7488602518654084e-11,1.306463117994248,-1.3064631146858205,1.3064631133519526,-1.3064631177893287
0.44,0.0,0.0,0.05866666666666667,-3.91880062001227e-13,1.8540716965986997e-12,6.24080500325193e-05,7.893509973797973e-11,1.394692337001942e-11,-6.134457598905012e-11,1.3229729847229712,-1.322972980944922,1.3229729794693403,-1.322972984448263
0.45,0.0,0.0,0.06,-4.487370393362358e-13,2.1124852671519714e-12,6.368962005557375e-05,8.9989224616137e-11,1.6204554819224313e-11,-6.532400916369771e-11,1.3395561511389988,-1.3395561468422659,1.3395561452162847,-1.339556150787054
0.46,0.0,0.0,0.061333333333333344,-5.115367638607991e-13,2.3995388128711838e-12,6.496567815468056e-05,1.022825552640317e-10,1.871373991890348e-11,-6.942607065963535e-11,1.3562126171483586,-1.3562126122811808,1.3562126104960834,-1.356212616711508
0.47000000000000003,0.0,0.0,0.06266666666666666,-5.806652342659779e-13,2.7171228556942314e-12,6.62362622981278e-05,1.1589763087543117e-10,2.1491277755773146e-11,-7.364992909390317e-11,1.3729423826570435,-1.3729423771649607,1.3729423752119987,-1.3729423821273965
0.48,0.0,0.0,0.064,-6.565084492428329e-13,3.0671279175590084e-12,6.750141045420349e-05,1.3091699064410272e-10,2.455396741654838e-11,-7.799475308354332e-11,1.3897454475710778,-1.3897454413969306,1.3897454392673245,-1.3897454469405224
0.49,0.0,0.0,0.06533333333333334,-7.395017511513946e-13,3.451675577062596e-12,6.876116020885062e-05,1.4743361788934842e-10,2.7920829571565246e-11,-8.2460623487437e-11,1.4066218118308895,-1.4066218049140689,1.406621802598713,-1.4066218110908597
0.5,0.0,0.0,0.06666666666666667,-8.343986481506407e-13,3.893107655523296e-12,7.001551568820992e-05,1.6645448280302885e-10,3.180530023596393e-11,-8.712745332091546e-11,1.4235714783891806,-1.4235714705999563,1.4235714680635962,-1.4235714775102655
0.51,0.0,0.0,0.06799999999999999,-9.39386953640553e-13,4.383021452663527e-12,7.126453189345994e-05,1.8759685469511573e-10,3.612521033005311e-11,-9.195377221674966e-11,1.4405944456185338,-1.440594436857907,1.440594434078402,-1.440594444581481
0.52,0.0,0.0,0.06933333333333333,-1.055330861390508e-12,4.925546686645189e-12,7.250824308753935e-05,2.1104448796149284e-10,4.0918888558750614e-11,-9.694758943084634e-11,1.4576907137585713,-1.457690703917571,1.4576907008698903,-1.4576907125416487
0.53,0.0,0.0,0.07066666666666667,-1.1831353991517464e-12,5.525004284829414e-12,7.374668321698004e-05,2.369897799555216e-10,4.622650208177632e-11,-1.0211766913798507e-10,1.4748602830773527,-1.474860272036416,1.4748602686923926,-1.4748602816561562
0.54,0.0,0.0,0.07200000000000001,-1.3237464286573735e-12,6.185906383776569e-12,7.497988591190724e-05,2.6563377098804086e-10,5.209005651365175e-11,-1.0747353043181954e-10,1.492103153871453,-1.4921031414998027,1.492103137827891,-1.4921031522187136
0.55,0.0,0.0,0.07333333333333333,-1.478150645622358e-12,6.912956329246249e-12,7.620788448603927e-05,2.9718614432736746e-10,5.85533959236996e-11,-1.1302544732487874e-10,1.5094193264658788,-1.5094193126209032,1.5094193085859342,-1.5094193245512695
0.56,0.0,0.0,0.07466666666666667,-1.647375579743534e-12,7.711048676197286e-12,7.743071193668766e-05,3.318652261992958e-10,6.566220283604323e-11,-1.1878444874856866e-10,1.5268088012141872,-1.526808785740819,1.526808781303756,-1.5268087990041304
0.5700000000000001,0.0,0.0,0.07600000000000001,-1.832489594699598e-12,8.58526918878774e-12,7.864840094475725e-05,3.6989798578709844e-10,7.34639982296061e-11,-1.2476231855317365e-10,1.5442715784984005,-1.5442715612284956,1.5442715563461902,-1.5442715759558752
0.58,0.0,0.0,0.07733333333333334,-2.034601888151111e-12,9.540894840374894e-12,7.9860983874746e-05,4.115200352315252e-10,8.2008141538111e-11,-1.3097159550785846e-10,1.561807658729015,-1.5618076394807316,1.56180763410568,-1.5618076558133638
0.59,0.0,0.0,0.07866666666666666,-2.2521160283474182e-12,1.0577976723735952e-11,8.106853879527869e-05,4.5672986983565133e-10,9.1231335009158e-11,-1.369638285087955e-10,1.5794169981099018,-1.579416976781373,1.5794169709268178,-1.5794169948198378
0.6,0.0,0.0,0.08,-2.488507697650509e-12,1.1713255331761622e-11,8.227106661104795e-05,5.062993532017733e-10,1.0129465931285488e-10,-1.4290875342555568e-10,1.5970996537108306,-1.5970996301112879,1.597099623745098,-1.59709965001168
0.61,0.0,0.0,0.08133333333333333,-2.746300854405147e-12,1.295788578896363e-11,8.34686027933551e-05,5.607386740524107e-10,1.1231227165084385e-10,-1.488517756563613e-10,1.6148555816726275,-1.614855555578897,1.614855548656112,-1.6148555775193563
0.62,0.0,0.0,0.08266666666666667,-3.0275011346596605e-12,1.432122933035856e-11,8.466117476767816e-05,6.204766023576525e-10,1.2437559583975242e-10,-1.547918590460229e-10,1.6326848554094207,-1.6326848265797753,1.6326848190510335,-1.632684850752592
0.63,0.0,0.0,0.08399999999999999,-3.3337308870958777e-12,1.5811053966654155e-11,8.584881013317906e-05,6.858727496372072e-10,1.3755954389335702e-10,-1.6072918059292434e-10,1.6505874264478377,-1.6505873946262306,1.6505873864393994,-1.6505874212352514
0.64,0.0,0.0,0.08533333333333334,-3.666295803772003e-12,1.743359664788889e-11,8.703152967398288e-05,7.572155938013577e-10,1.5192431026358358e-10,-1.666638572850386e-10,1.6685632787264804,-1.6685632436452578,1.668563234745876,-1.6685632729036153
0.65,0.0,0.0,0.08666666666666667,-4.02876243446671e-12,1.9205951332272487e-11,8.82093833433463e-05,8.352975390351649e-10,1.676343569461063e-10,-1.7259775606105565e-10,1.6866124617466571,-1.6866124231063135,1.6866124134332865,-1.6866124552524429
0.66,0.0,0.0,0.08800000000000001,-4.424429560258253e-12,2.114392555158254e-11,8.93824177059544e-05,9.208512633059127e-10,1.8484179645191535e-10,-1.7853252159659632e-10,1.7047350163392787,-1.7047349738108561,1.704734963296968,-1.7047350091065985
0.67,0.0,0.0,0.08933333333333333,-4.855792174202657e-12,2.3259945188421807e-11,9.055066194109508e-05,1.014469436005589e-09,2.0366575402633595e-10,-1.8446801413018333e-10,1.722930921310931,-1.7229308745421366,1.7229308631158489,-1.7229309132683146
0.68,0.0,0.0,0.09066666666666667,-5.323422875151779e-12,2.555760495094443e-11,9.171411482114243e-05,1.1163490350834397e-09,2.2414013548378001e-10,-1.9040155663420245e-10,1.741200062883249,-1.7412000115147672,1.7411999991041178,-1.7412000539586392
0.6900000000000001,0.0,0.0,0.092,-5.830634422075936e-12,2.8052869051403438e-11,9.287282174207402e-05,1.2272331829914625e-09,2.464184597004121e-10,-1.9633459697964533e-10,1.7595424756249196,-1.7595424192676552,1.7595424057945823,-1.759542465740221
0.7000000000000001,0.0,0.0,0.09333333333333335,-6.3798254562983e-12,3.0757592129926175e-11,9.40268122922901e-05,1.3476841910152442e-09,2.7061448637306133e-10,-2.0226716764070586e-10,1.7779581433488374,-1.777958081591468,1.7779580669737132,-1.7779581324217404
0.71,0.0,0.0,0.09466666666666666,-6.9756914443209064e-12,3.369480232036264e-11,9.517613204129777e-05,1.4788270238909185e-09,2.9695645297531855e-10,-2.081896867343743e-10,1.7964471335075776,-1.7964470658951932,1.7964470500412488,-1.796447121446344
0.72,0.0,0.0,0.09599999999999999,-7.62086148081921e-12,3.687747536213355e-11,9.632081218097135e-05,1.6212804470804943e-09,3.2556960540140515e-10,-2.1410122207272847e-10,1.8150094383060815,-1.8150093643594023,1.8150093471730573,-1.8150094250142361
0.73,0.0,0.0,0.09733333333333333,-8.318854540117645e-12,4.032291604188682e-11,9.746089009488922e-05,1.7758812199358432e-09,3.5662354270081445e-10,-2.1999711649102832e-10,1.833645082354568,-1.833645001561668,1.83364498294005,-1.8336450677288783
0.74,0.0,0.0,0.09866666666666667,-9.073384164047688e-12,4.4049375669688196e-11,9.85964045204133e-05,1.943513765026834e-09,3.902975615072629e-10,-2.2587189837809479e-10,1.8523540973485024,-1.8523540091630004,1.8523539889961476,-1.8523540812785362
0.75,0.0,0.0,0.1,-9.888608215347833e-12,4.8078150635328906e-11,9.972736947800608e-05,2.125352339722165e-09,4.26823453248745e-10,-2.3174544017860978e-10,1.8711364111779005,-1.871136315013571,1.8711362931835884,-1.8711363935457859
